datetime,price,market_cap,volume,MA_7,MA_30,RSI_14,MACD,MACD_Signal
2026-06-08 13:00:44.859,63784.417012630474,1277943885124.4365,36136770033.3675,63292.34891658259,62627.37702453633,63.679536177134786,405.2282873779477,371.07655555922753
2026-06-08 14:00:49.040,63717.79786623143,1276690729719.0708,37048002465.80039,63401.21222868995,62672.81497794915,62.60033153143802,420.0502229521953,380.8712890378211
2026-06-08 15:00:12.000,63975.150617444626,1281209642794.0825,37200761548.85971,63502.85700942293,62711.99942985585,65.06351922047247,447.4055176105394,394.17813475236477
2026-06-08 16:01:17.599,63731.845419079924,1278661354285.439,39355293498.214645,63592.38917389555,62752.534725807694,60.97479906877602,444.3301284549598,404.20853349288376
2026-06-08 17:01:16.293,63455.42095436701,1272594605391.7336,40051190836.834694,63596.02001597886,62789.15211227049,56.62129078739832,414.80608986930747,406.3280447681685
2026-06-08 18:00:52.793,63486.55749595917,1271834212953.0286,40184767228.59978,63652.53084262368,62818.962427611885,56.99376737143517,389.4314123594668,402.9487182864282
2026-06-08 19:00:15.721,63426.94217807585,1271543810665.66,40608481093.42863,63654.01879196982,62869.87914809697,56.00225073133805,360.35736430995894,394.4304474911343
2026-06-08 20:00:19.434,63364.111069051134,1270221446603.2937,39702865668.97874,63593.975085744205,62925.066677886294,54.917855114520066,328.4597468639622,381.2363073656999
2026-06-08 21:00:44.477,63429.52697889757,1270897367480.8232,39337709323.297615,63552.793530410796,62977.08018304304,55.87582577158218,304.9439682046868,365.9778395334973
2026-06-08 22:01:13.717,63758.168414545864,1276973135707.8372,40100450230.635,63521.79607285384,63034.34723165163,60.42556002288371,309.2611909797124,354.6345098227403
2026-06-08 23:00:34.400,63404.5448567149,1268915948290.2502,36335658287.621925,63475.038849658835,63080.519343249856,53.97621753288551,280.90999975449085,339.8896078090904
2026-06-09 00:00:24.671,63078.44049480062,1263134225700.3467,34027346085.709057,63421.184498292205,63111.83054026005,48.803208535430926,229.48225126572652,317.8081365004176
2026-06-09 01:00:58.143,62521.10105576993,1253151625780.8843,35708087215.441185,63283.26214969374,63127.02941812753,41.4853587841041,142.11454718501045,282.6694186373362
2026-06-09 02:00:32.267,62764.01753232251,1257597369537.4368,34558223242.49932,63188.55862887184,63176.57200640336,45.332897918495235,91.42248032613861,244.4200309750967
2026-06-09 03:00:01.920,62824.67788347735,1258711450887.358,33492759459.62244,63111.49674521844,63207.521740986595,46.282769174941414,55.50362427155051,206.63674963438746
2026-06-09 04:01:05.530,62839.35254293068,1258199609162.9485,35083672803.4588,63027.18611150888,63244.28351679729,46.524837853009046,27.900178552452417,170.88943541800046
2026-06-09 05:00:25.851,63231.29657420249,1267405054284.042,34963973541.87083,62951.91870574554,63255.36554844626,52.66084917662701,37.22178706712293,144.15590574782496
2026-06-09 06:00:31.236,63309.01004093081,1268690273779.2822,34971464344.98196,62938.270874919246,63257.18014479372,53.79298585098253,50.30022655902576,125.38476991006512
2026-06-09 07:00:40.097,63246.48358224153,1267380126421.9824,34362549354.37042,62962.27703026794,63245.6778737741,52.70092000366622,54.98577958106762,111.30497184426562
2026-06-09 08:01:08.006,63164.25608395359,1265599948434.6252,34368648876.82275,63054.156320008464,63246.62859584745,51.22803513164171,51.47071978242457,99.3381214318974
2026-06-09 09:00:39.897,62823.55164337146,1258988947378.1077,34871263397.32057,63062.66119301546,63237.64785644189,45.54783376814447,20.951492830696225,83.66079571165717
2026-06-09 10:00:27.131,62688.51554928853,1255476574921.2798,35025226955.83535,63043.209430988485,63224.00708547075,43.489584143818746,-13.970455936745566,64.13454538197662
2026-06-09 11:01:09.453,62762.48564583781,1257706429392.5896,34341796522.776283,63032.2284456895,63224.552907175945,44.95690195406368,-35.27100119007082,44.25343606756714
2026-06-09 12:00:00.318,62681.14701021562,1254828884394.301,34439998252.50587,62953.635650834236,63224.36146352629,43.6157906700911,-58.0460659687742,23.79353566029887
2026-06-09 13:00:49.573,62538.666070313615,1253329795980.617,31714108973.75095,62843.58651217463,63210.45850982075,41.29209154787589,-86.59428496457258,1.7159715353245772
2026-06-09 14:00:21.636,62332.828912384895,1249139463883.564,31491964382.8103,62713.06441648083,63179.43156848979,38.131477498169176,-124.39435193320969,-23.506093158382278
2026-06-09 15:00:44.752,61419.43726564442,1228840765417.1433,33556267725.012115,62463.80458529381,63123.242135085544,27.919150254210734,-225.45534087160195,-63.895942701026215
2026-06-09 16:00:38.378,61108.39138911923,1223764923996.9631,33384134977.594242,62218.7816918292,63045.85501273006,25.422218707612316,-326.87766320002265,-116.4922868008255
2026-06-09 17:00:28.711,61363.11019490096,1227591473912.4116,36394659153.78141,62029.43806977383,62988.25929557858,30.87433380064788,-382.29504617901694,-169.6528386764638
2026-06-09 18:00:53.996,61681.90858983838,1235872234253.0063,37432113283.330894,61875.06991891677,62930.438697484766,37.07474302511201,-395.9253740316053,-214.90734574749212
